package-registry_1  | 2021/09/08 14:07:34 Package registry started.
package-registry_1  | 2021/09/08 14:07:34 f5                  	     0.4.0	/packages/production/f5/0.4.0
package-registry_1  | 2021/09/08 14:07:34 fleet_server        	     0.1.7	/packages/production/fleet_server/0.1.7
package-registry_1  | 2021/09/08 14:07:34 fleet_server        	     0.2.0	/packages/production/fleet_server/0.2.0
package-registry_1  | 2021/09/08 14:07:34 fleet_server        	     0.2.1	/packages/production/fleet_server/0.2.1
package-registry_1  | 2021/09/08 14:07:34 fleet_server        	     0.2.2	/packages/production/fleet_server/0.2.2
package-registry_1  | 2021/09/08 14:07:34 fleet_server        	     0.2.3	/packages/production/fleet_server/0.2.3
package-registry_1  | 2021/09/08 14:07:34 fleet_server        	     0.2.4	/packages/production/fleet_server/0.2.4
package-registry_1  | 2021/09/08 14:07:34 fleet_server        	     0.9.0	/packages/production/fleet_server/0.9.0
package-registry_1  | 2021/09/08 14:07:34 fleet_server        	     0.9.1	/packages/production/fleet_server/0.9.1
package-registry_1  | 2021/09/08 14:07:34 fleet_server        	     1.0.0	/packages/production/fleet_server/1.0.0
package-registry_1  | 2021/09/08 14:07:34 fleet_server        	     1.0.1	/packages/production/fleet_server/1.0.1
package-registry_1  | 2021/09/08 14:07:34 fortinet            	     0.5.0	/packages/production/fortinet/0.5.0
package-registry_1  | 2021/09/08 14:07:34 fortinet            	     0.5.1	/packages/production/fortinet/0.5.1
package-registry_1  | 2021/09/08 14:07:34 fortinet            	     0.5.2	/packages/production/fortinet/0.5.2
package-registry_1  | 2021/09/08 14:07:34 fortinet            	     0.7.0	/packages/production/fortinet/0.7.0
package-registry_1  | 2021/09/08 14:07:34 fortinet            	     0.8.0	/packages/production/fortinet/0.8.0
package-registry_1  | 2021/09/08 14:07:34 fortinet            	     0.8.1	/packages/production/fortinet/0.8.1
package-registry_1  | 2021/09/08 14:07:34 fortinet            	     1.0.0	/packages/production/fortinet/1.0.0
package-registry_1  | 2021/09/08 14:07:34 fortinet            	     1.1.2	/packages/production/fortinet/1.1.2
package-registry_1  | 2021/09/08 14:07:34 gcp                 	     0.0.1	/packages/production/gcp/0.0.1
package-registry_1  | 2021/09/08 14:07:34 gcp                 	     0.0.2	/packages/production/gcp/0.0.2
package-registry_1  | 2021/09/08 14:07:34 gcp                 	     0.2.0	/packages/production/gcp/0.2.0
package-registry_1  | 2021/09/08 14:07:34 google_workspace    	     0.1.0	/packages/production/google_workspace/0.1.0
